"pathway","pval","padj","log2err","ES","NES","size","query_gene","rank_by_NES","self_enrichment_rank"
"AR",0.800230946882217,0.946981305547043,0.0304180507344859,0.177262026762857,0.88470446242387,431,"AR",87,87
"ATF2",0.0435222672064777,0.144606242653781,0.216542836735348,0.20922756808324,1.12707744917216,2025,"AR",53,87
"ATF3",0.942567567567568,0.996055020248569,0.0734381410838857,-0.163824130192445,-0.7584168424346,85,"AR",99,87
"BCL3",0.415364583333333,0.629155177696078,0.0667426134241917,0.226635114623284,1.02216087454004,160,"AR",67,87
"BCLAF1",0.686033519553073,0.883268156424581,0.0362254755857254,0.182161727786972,0.936712022399016,605,"AR",80,87
"BHLHE40",0.99468085106383,1,0.0952879846194844,-0.15052166368277,-0.805319330605908,268,"AR",96,87
"BRCA1",0.00265865459206534,0.0182560948655153,0.431707695803346,0.222247865138507,1.19871874220995,2347,"AR",31,87
"CBX3",0.894428152492669,0.980064890497286,0.0365314928349125,0.198820496478005,0.746246190545075,53,"AR",101,87
"CEBPB",0.243445692883895,0.435637159775091,0.173747838999571,-0.225567814328033,-1.09277900552564,113,"AR",58,87
"CEBPD",0.105855855855856,0.250195443377262,0.142056643575821,0.228155719444725,1.16131036021272,541,"AR",44,87
"CHD1",0.000744057840331949,0.00725117709131547,0.477270815362862,0.277139641364457,1.40506532896889,526,"AR",13,87
"CREB1",0.0228035891864748,0.0809920581450657,0.352487857583619,0.227175926898731,1.20300594913917,1124,"AR",29,87
"CREB1",0.110435663627153,0.252774963413261,0.130777137971974,0.205127746938379,1.10189852736223,1625,"AR",57,87
"CTCF",0.305672268907563,0.499749899959984,0.0713052987340038,0.20013351253212,1.05370482205074,939,"AR",63,87
"E2F1",0.0659340659340659,0.188644688644689,0.181383128498408,0.228306464444498,1.18192130027169,673,"AR",40,87
"E2F4",1.88326041879799e-05,0.000484939557840482,0.575610261071129,0.290649355563203,1.49610554397477,613,"AR",5,87
"E2F6",0.997979797979798,1,0.00523322083191526,0.152842378942382,0.824184059240647,2119,"AR",94,87
"EGR1",0.271317829457364,0.450737684421105,0.0886261133285098,0.239186194287162,1.09191284120487,181,"AR",59,87
"EGR1",0.35077288941736,0.552214452214452,0.070619624712259,0.212448383295461,1.04501268008387,368,"AR",64,87
"ELF1",0.018774281311733,0.0716204064855001,0.352487857583619,0.215628488649994,1.16038762616777,1798,"AR",46,87
"ERG",0.338403041825095,0.544617395437262,0.14641623786055,-0.213790204482275,-1.0285699474501,108,"AR",66,87
"ESR1",0.509572901325479,0.739239561077807,0.0628003977812234,0.256903862257863,0.982873962480974,61,"AR",70,87
"ETS1",0.139813581890812,0.288015978695073,0.133554954557592,0.271111464207336,1.19543234392808,130,"AR",32,87
"EZH2",0.00541605536200824,0.0309918723492694,0.407017918923954,-0.45651518996464,-1.75121368084985,34,"AR",2,87
"EZH2",0.0714285714285714,0.198841698841699,0.197822021315103,0.31992407461344,1.30967651657468,83,"AR",18,87
"FLI1",0.00690950312831579,0.0355839411108263,0.407017918923954,0.25707174257972,1.30135956232848,516,"AR",19,87
"FOS",0.0757575757575758,0.2000777000777,0.173747838999571,0.237518941975584,1.18517502307035,437,"AR",38,87
"FOSL2",0.864525139664804,0.967892275929075,0.0358449292332649,0.19361880527371,0.789934553143438,82,"AR",98,87
"FOXA1",0.00670734083974213,0.0355839411108263,0.407017918923954,0.336688094909693,1.46354732834396,119,"AR",7,87
"FOXA2",0.139473684210526,0.288015978695073,0.132846300606183,0.264940724610216,1.18823554824403,154,"AR",36,87
"FOXM1",5.66220074199989e-11,5.83206676425988e-09,0.851339057116899,0.593370815889302,2.4208604615407,82,"AR",1,87
"FOXP2",0.00140150248416936,0.0111042119899572,0.45505986738723,0.36574135724937,1.60556076146248,123,"AR",3,87
"GABPA",0.0201178922354138,0.0740051035802722,0.352487857583619,0.218100853421787,1.16910887238299,1553,"AR",41,87
"GATA1",0.8204833141542,0.946981305547043,0.0289981119993578,0.176419806340504,0.883782736775522,453,"AR",88,87
"GATA2",0.883101851851852,0.978059040223019,0.0254820564855004,0.170870057613762,0.854719567394343,448,"AR",92,87
"HDAC2",0.534228187919463,0.764243102162565,0.0561766586307176,0.222015594518082,0.966641194720964,116,"AR",73,87
"HNF4A",0.650442477876106,0.870072405470635,0.0382416816260774,0.184472439160992,0.950962992836382,622,"AR",77,87
"IRF1",0.209302325581395,0.39922480620155,0.103958471559957,0.247331592786163,1.12909753426083,181,"AR",52,87
"IRF3",0.000364814820639,0.00469699081572713,0.49849310876659,0.289104162672187,1.44827994883112,453,"AR",8,87
"IRF8",0.149096385542169,0.295325532900834,0.138022242496643,0.335284072471964,1.23093870055423,48,"AR",26,87
"KAT2A",0.213836477987421,0.400457404230989,0.169570644405628,-0.255199179200067,-1.13197074609297,67,"AR",51,87
